species,rule,country_code,admin1_region_code
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CPV,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CRI,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CUB,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CUW,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CXR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CYM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CYP,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,CZE,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,DEU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,DJI,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,DMA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,DNK,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,DOM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,DZA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ECU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,EGY,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ERI,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ESH,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ESP,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,EST,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,FIN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,FJI,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,FLK,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,FRA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,FRO,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,FSM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GBR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GEO,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GGY,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GIB,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GLP,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GRC,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GRD,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GRL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GTM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GUF,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GUM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,GUY,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,HKG,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,HMD,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,HND,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,HRV,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,HTI,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,HUN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,IDN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,IMN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,IND,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,IOT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,IRL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,IRN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,IRQ,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ISL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ISR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ITA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,JAM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,JEY,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,JOR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,JPN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,KAZ,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,KGZ,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,KHM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,KIR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,KNA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,KOR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,KWT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LAO,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LBN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LBR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LBY,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LCA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LIE,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LKA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LSO,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LTU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LUX,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,LVA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MAC,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MAF,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MAR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MCO,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MDA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MDG,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MDV,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MEX,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MHL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MKD,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MLT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MMR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MNE,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MNG,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MNP,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MRT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MSR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MTQ,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MUS,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MYS,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,MYT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NCL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NFK,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NIC,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NIU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NLD,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NOR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NPL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NRU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,NZL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,OMN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PAK,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PAN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PCN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PER,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PHL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PLW,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PNG,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,POL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PRI,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PRK,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PRT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PRY,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PSE,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,PYF,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,QAT,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,REU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ROU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,RUS,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SAU,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SGP,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SGS,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SHN,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SJM,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SLB,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SLV,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SMR,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,SPM,
